bm_name,wall_time,cpu_time,num_iter,m,n,num_segments,num_intersections
BM_SweepLineGrid/10000/100,15109404,15110001,60,10000,100,10100,1000000
BM_SweepLineGrid/10100/100,18183980,18183258,38,10100,100,10200,1010000
BM_SweepLineGrid/10200/100,18657964,18657009,36,10200,100,10300,1020000
BM_SweepLineGrid/10300/100,20037552,20034197,40,10300,100,10400,1030000
BM_SweepLineGrid/10400/100,18519408,18518557,37,10400,100,10500,1040000
BM_SweepLineGrid/10500/100,16390210,16387175,31,10500,100,10600,1050000
BM_SweepLineGrid/10600/100,21241012,21240243,42,10600,100,10700,1060000
BM_SweepLineGrid/10700/100,20594998,20592938,34,10700,100,10800,1070000
BM_SweepLineGrid/10800/100,19543551,19542689,36,10800,100,10900,1080000
BM_SweepLineGrid/10900/100,19409546,19406456,31,10900,100,11000,1090000
BM_SweepLineGrid/11000/100,21124489,21123052,35,11000,100,11100,1100000
BM_SweepLineGrid/11100/100,20604486,20603822,29,11100,100,11200,1110000
BM_SweepLineGrid/11200/100,23604795,23602948,35,11200,100,11300,1120000
BM_SweepLineGrid/11300/100,19712911,19711379,31,11300,100,11400,1130000
BM_SweepLineGrid/11400/100,23124597,23122849,35,11400,100,11500,1140000
BM_SweepLineGrid/11500/100,24445359,24443924,29,11500,100,11600,1150000
BM_SweepLineGrid/11600/100,23633249,23621404,30,11600,100,11700,1160000
BM_SweepLineGrid/11700/100,21201045,21199460,27,11700,100,11800,1170000
BM_SweepLineGrid/11800/100,23284539,23278492,30,11800,100,11900,1180000
BM_SweepLineGrid/11900/100,24339183,24338613,28,11900,100,12000,1190000
BM_SweepLineGrid/12000/100,24758423,24756395,29,12000,100,12100,1200000
BM_SweepLineGrid/12100/100,21280404,21280147,30,12100,100,12200,1210000
BM_SweepLineGrid/12200/100,21194117,21193403,27,12200,100,12300,1220000
BM_SweepLineGrid/12300/100,19596482,19594602,36,12300,100,12400,1230000
BM_SweepLineGrid/12400/100,20246979,20245297,37,12400,100,12500,1240000
BM_SweepLineGrid/12500/100,20795202,20792546,33,12500,100,12600,1250000
BM_SweepLineGrid/12600/100,19627980,19627197,31,12600,100,12700,1260000
BM_SweepLineGrid/12700/100,21889476,21887128,35,12700,100,12800,1270000
BM_SweepLineGrid/12800/100,21581531,21580880,33,12800,100,12900,1280000
BM_SweepLineGrid/12900/100,22607695,22605132,32,12900,100,13000,1290000
BM_SweepLineGrid/13000/100,21952827,21952006,32,13000,100,13100,1300000
BM_SweepLineGrid/13100/100,27173519,27171760,22,13100,100,13200,1310000
BM_SweepLineGrid/13200/100,22844603,22843618,30,13200,100,13300,1320000
BM_SweepLineGrid/13300/100,22336227,22334786,32,13300,100,13400,1330000
BM_SweepLineGrid/13400/100,24535871,24532669,30,13400,100,13500,1340000
BM_SweepLineGrid/13500/100,26279948,26277893,22,13500,100,13600,1350000
BM_SweepLineGrid/13600/100,24414985,24410984,26,13600,100,13700,1360000
BM_SweepLineGrid/13700/100,25650831,25649363,26,13700,100,13800,1370000
BM_SweepLineGrid/13800/100,25102807,25091805,29,13800,100,13900,1380000
BM_SweepLineGrid/13900/100,26602489,26600569,27,13900,100,14000,1390000
BM_SweepLineGrid/14000/100,27470677,27468882,26,14000,100,14100,1400000
BM_SweepLineGrid/14100/100,24374044,24373257,28,14100,100,14200,1410000
BM_SweepLineGrid/14200/100,26331602,26329093,24,14200,100,14300,1420000
BM_SweepLineGrid/14300/100,28151476,28149804,24,14300,100,14400,1430000
BM_SweepLineGrid/14400/100,26586956,26586380,25,14400,100,14500,1440000
BM_SweepLineGrid/14500/100,28668163,28667405,26,14500,100,14600,1450000
BM_SweepLineGrid/14600/100,29583840,29582177,26,14600,100,14700,1460000
BM_SweepLineGrid/14700/100,27511810,27509786,25,14700,100,14800,1470000
BM_SweepLineGrid/14800/100,28983653,28982516,25,14800,100,14900,1480000
