m,n,num_segments,num_intersections,wall_time,cpu_time,num_iter
1,1,2,1,1385,1360,509024
4,1,5,4,2421,2329,302628
16,1,17,16,7616,7357,95568
64,1,65,64,35647,34673,20356
256,1,257,256,168475,164776,4280
1024,1,1025,1024,879227,863050,813
4096,1,4097,4096,4141699,4080449,172
16384,1,16385,16384,19767791,19522795,36
65536,1,65537,65536,100425740,99360545,7
262144,1,262145,262144,478280916,474379857,2
1,4,5,4,3656,3641,194437
4,4,8,16,9321,9281,74771
16,4,20,64,16703,16639,42121
64,4,68,256,47422,47258,14809
256,4,260,1024,184499,183930,3824
1024,4,1028,4096,899264,897048,778
4096,4,4100,16384,4186741,4178308,169
16384,4,16388,65536,20196012,20162097,35
65536,4,65540,262144,98909628,98763617,7
262144,4,262148,1048576,492317956,491766708,2
1,16,17,16,9387,9382,74740
4,16,20,64,16063,16055,44385
16,16,32,256,59775,59731,11494
64,16,80,1024,113454,113355,6138
256,16,272,4096,280851,280585,2511
1024,16,1040,16384,1123783,1122883,631
4096,16,4112,65536,5059691,5055810,136
16384,16,16400,262144,26398606,26378677,27
65536,16,65552,1048576,113879315,113798090,6
262144,16,262160,4194304,518198754,517795037,1
1,64,65,64,39892,39855,18053
4,64,68,256,47633,47600,14700
16,64,80,1024,98255,98217,7342
64,64,128,4096,353097,352980,1986
256,64,320,16384,624833,624540,1110
1024,64,1088,65536,1623358,1622922,455
4096,64,4160,262144,7086209,7083693,97
16384,64,16448,1048576,27524509,27514052,26
65536,64,65600,4194304,124776443,124735547,6
262144,64,262208,16777216,553649448,553459078,1
1,256,257,256,174150,174035,3991
4,256,260,1024,186304,186200,3754
16,256,272,4096,254730,254640,2741
64,256,320,16384,507601,507463,1355
256,256,512,65536,1554473,1554051,447
1024,256,1280,262144,2899130,2898536,240
4096,256,4352,1048576,7279286,7277030,96
16384,256,16640,4194304,32867955,32859532,23
65536,256,65792,16777216,136743437,136711929,5
262144,256,262400,67108864,591343708,591169801,1
1,1024,1025,1024,1104015,1103771,621
4,1024,1028,4096,1127932,1127803,623
16,1024,1040,16384,1124017,1123693,604
64,1024,1088,65536,1416904,1416696,497
256,1024,1280,262144,2528833,2528493,278
1024,1024,2048,1048576,7265534,7263821,98
4096,1024,5120,4194304,13968351,13965651,50
16384,1024,17408,16777216,41579606,41571629,17
65536,1024,66560,67108864,148858280,148831796,5
262144,1024,263168,268435456,678274782,678173745,1
1,4096,4097,4096,6005389,6004455,104
4,4096,4100,16384,5923806,5922961,116
16,4096,4112,65536,6055450,6054714,113
64,4096,4160,262144,6193889,6192729,103
256,4096,4352,1048576,7185295,7183885,93
1024,4096,5120,4194304,12474952,12471497,56
4096,4096,8192,16777216,34891041,34884671,20
16384,4096,20480,67108864,68412192,68398497,10
65536,4096,69632,268435456,190831570,190802698,4
